Predictor,Unweighted_OR,Weighted_OR,OR_Difference,Pct_Change_OR
u10,0.9986584253851879,0.9982190170615979,-0.00043940832359001814,-0.04399986145618668
v10,1.0080242049090429,1.5188017434188894,0.5107775385098465,50.67115809544826
d2m,1.000248615284505,0.741063012249566,-0.25918560303493887,-25.912118154866693
t2m,0.9992719429608414,0.9749275919395504,-0.024344351021291066,-2.4362088010956042
msl,1.0027883679079062,1.2912282169861764,0.28843984907827025,28.763780904243593
tcc,1.0032241895288494,1.1429754273611843,0.1397512378323349,13.930210145547544
tp,1.0050305868204636,1.1989988321356264,0.19396824531516277,19.299735536288985
len,1.0817869206347133,1.1635875803581792,0.08180065972346595,7.561624028091532
wid,1.0593969005116817,1.0630533982210342,0.003656497709352502,0.34514899067445237
yr,0.9778860080534313,0.9161465775176071,-0.0617394305358242,-6.313561092741475
mo,1.0025306335349247,1.054007728400858,0.051477094865933326,5.134715403600686
dy,0.998923042099428,0.881175881186703,-0.11774716091272497,-11.78741063628453
mag,1.0224587529928764,18.47256394100865,17.450105188015776,1706.6806007515645
slat,1.3014009456512807,1795.750250313519,1794.4488493678678,137885.93402856667
slon,0.7231348220185864,0.00031845956508607683,-0.7228163624535003,-99.95596124603749
elat,0.9046173188077679,0.003722814868143139,-0.9008945039396247,-99.58846522272538
elon,0.8980334275638023,0.0029275251751487933,-0.8951059023886535,-99.67400710426885
latitude,0.7705577740928456,0.000750100021708102,-0.7698076740711376,-99.90265492777733
longitude,1.4032837863985708,6586.492579192006,6585.089295405607,469262.83615844924
dist2,1.0124709785596206,1.3727260487531543,0.36025507019353364,35.581767559011524
